name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Lewis Cliff 88613,14351,Valid,Stony,Ordinary,H5,8.3,Found,1988-01-01,-84.26951,161.36454,"(-84.269510, 161.364540)"
Lewis Cliff 86377,13308,Valid,Stony,Ordinary,H4,2,Found,1986-01-01,-84.26952,161.41156,"(-84.269520, 161.411560)"
Lewis Cliff 88608,14346,Valid,Stony,Ordinary,H6,2.8,Found,1988-01-01,-84.26959,161.41655,"(-84.269590, 161.416550)"
Lewis Cliff 88617,14355,Valid,Stony,Ordinary,L3.5,3.2,Found,1988-01-01,-84.26961,161.37881,"(-84.269610, 161.378810)"
Lewis Cliff 86346,13277,Valid,Stony,Ordinary,L5,3.2,Found,1986-01-01,-84.26962,161.41687,"(-84.269620, 161.416870)"
Lewis Cliff 86359,13290,Valid,Stony,Ordinary,L6,2.7,Found,1986-01-01,-84.26965,161.41847,"(-84.269650, 161.418470)"
Lewis Cliff 88301,14052,Valid,Stony,Ordinary,H6,29.8,Found,1988-01-01,-84.26973,161.40801,"(-84.269730, 161.408010)"
Lewis Cliff 88616,14354,Valid,Stony,Ordinary,H5,14.7,Found,1988-01-01,-84.26979,161.37879,"(-84.269790, 161.378790)"
Lewis Cliff 85311,12781,Valid,Stony,Carbonaceous,CM2,199.5,Found,1985-01-01,-84.2698,161.46,"(-84.269800, 161.460000)"
Lewis Cliff 88341,14092,Valid,Stony,Ordinary,H5,22.7,Found,1988-01-01,-84.26981,161.40412,"(-84.269810, 161.404120)"
Lewis Cliff 88602,14340,Valid,Stony,Ordinary,H5,4.2,Found,1988-01-01,-84.26985,161.37707,"(-84.269850, 161.377070)"
Lewis Cliff 88777,14514,Valid,Stony,Ordinary,H4,10.7,Found,1988-01-01,-84.26988,161.40123,"(-84.269880, 161.401230)"
Lewis Cliff 85460,12928,Valid,Stony,Ordinary,H5,5.5,Found,1985-01-01,-84.26992,161.41717,"(-84.269920, 161.417170)"
Lewis Cliff 88343,14094,Valid,Stony,Ordinary,H4,28.1,Found,1988-01-01,-84.26994,161.40738,"(-84.269940, 161.407380)"
Lewis Cliff 88619,14357,Valid,Stony,Ordinary,H5,5.1,Found,1988-01-01,-84.26995,161.37761,"(-84.269950, 161.377610)"
Lewis Cliff 86358,13289,Valid,Stony,Ordinary,H4,5,Found,1986-01-01,-84.27,161.41035,"(-84.270000, 161.410350)"
Lewis Cliff 86308,13240,Valid,Stony,Ordinary,H4,3.1,Found,1986-01-01,-84.27004,161.41019,"(-84.270040, 161.410190)"
Lewis Cliff 88621,14359,Valid,Stony,Ordinary,L3.7,7.5,Found,1988-01-01,-84.27007,161.39499,"(-84.270070, 161.394990)"
Lewis Cliff 86531,13459,Valid,Stony,Ordinary,L6,21.1,Found,1986-01-01,-84.2701,161.35767,"(-84.270100, 161.357670)"
Lewis Cliff 88622,14360,Valid,Stony,Ordinary,H5,2.7,Found,1988-01-01,-84.27013,161.42221,"(-84.270130, 161.422210)"
Lewis Cliff 86309,13241,Valid,Stony,Ordinary,L6,13.8,Found,1986-01-01,-84.27015,161.40904,"(-84.270150, 161.409040)"
Lewis Cliff 86357,13288,Valid,Stony,Ordinary,L5,3.4,Found,1986-01-01,-84.27015,161.41279,"(-84.270150, 161.412790)"
Lewis Cliff 88303,14054,Valid,Stony,Ordinary,H4,28.2,Found,1988-01-01,-84.27016,161.40541,"(-84.270160, 161.405410)"
Lewis Cliff 88309,14060,Valid,Stony,Ordinary,H5,30.9,Found,1988-01-01,-84.27022,161.34874,"(-84.270220, 161.348740)"
Lewis Cliff 88304,14055,Valid,Stony,Ordinary,L6,30.2,Found,1988-01-01,-84.27023,161.36818,"(-84.270230, 161.368180)"
Lewis Cliff 86300,13232,Valid,Stony,Ordinary,H5,9,Found,1986-01-01,-84.27023,161.41375,"(-84.270230, 161.413750)"
Lewis Cliff 85390,12859,Valid,Stony,Ordinary,L4,1.5,Found,1985-01-01,-84.27024,161.41685,"(-84.270240, 161.416850)"
Lewis Cliff 86240,13174,Valid,Stony,Ordinary,H5,7.1,Found,1986-01-01,-84.27032,161.36955,"(-84.270320, 161.369550)"
Lewis Cliff 88611,14349,Valid,Stony,Ordinary,H5,2.6,Found,1988-01-01,-84.27043,161.41802,"(-84.270430, 161.418020)"
Lewis Cliff 88760,14497,Valid,Stony,Ordinary,H6,3.1,Found,1988-01-01,-84.27045,161.39259,"(-84.270450, 161.392590)"
Lewis Cliff 88355,14105,Valid,Stony,Ordinary,H5,18.3,Found,1988-01-01,-84.27045,161.40509,"(-84.270450, 161.405090)"
Lewis Cliff 86295,13227,Valid,Stony,Ordinary,H6,43.8,Found,1986-01-01,-84.27048,161.40849,"(-84.270480, 161.408490)"
Lewis Cliff 86339,13270,Valid,Stony,Ordinary,L4,21.3,Found,1986-01-01,-84.27052,161.4121,"(-84.270520, 161.412100)"
Lewis Cliff 85363,12833,Valid,Stony,Ordinary,L5,44,Found,1985-01-01,-84.2706,161.39567,"(-84.270600, 161.395670)"
Lewis Cliff 86329,13261,Valid,Stony,Ordinary,H5,5,Found,1986-01-01,-84.2706,161.41011,"(-84.270600, 161.410110)"
Lewis Cliff 85445,12913,Valid,Stony,Ordinary,H4,10.8,Found,1985-01-01,-84.2706,161.43441,"(-84.270600, 161.434410)"
Lewis Cliff 88658,14395,Valid,Stony,Ordinary,LL6,6.6,Found,1988-01-01,-84.27076,161.3692,"(-84.270760, 161.369200)"
Lewis Cliff 88648,14385,Valid,Stony,Ordinary,H6,21.7,Found,1988-01-01,-84.27082,161.3694,"(-84.270820, 161.369400)"
Lewis Cliff 88637,14374,Valid,Stony,Ordinary,H5,6.8,Found,1988-01-01,-84.2709,161.38728,"(-84.270900, 161.387280)"
Lewis Cliff 88641,14378,Valid,Stony,Ordinary,H5,8.6,Found,1988-01-01,-84.2709,161.4058,"(-84.270900, 161.405800)"
Lewis Cliff 85444,12912,Valid,Stony,Ordinary,L6,2.3,Found,1985-01-01,-84.2709,161.43712,"(-84.270900, 161.437120)"
Lewis Cliff 85423,12891,Valid,Stony,Ordinary,H5,11,Found,1985-01-01,-84.27098,161.4176,"(-84.270980, 161.417600)"
Lewis Cliff 85345,12815,Valid,Stony,Ordinary,H5,32.2,Found,1985-01-01,-84.27099,161.41336,"(-84.270990, 161.413360)"
Lewis Cliff 85361,12831,Valid,Stony,Ordinary,L6,4.2,Found,1985-01-01,-84.27101,161.39736,"(-84.271010, 161.397360)"
Lewis Cliff 88691,14428,Valid,Stony,Ordinary,H4,15,Found,1988-01-01,-84.27103,161.36843,"(-84.271030, 161.368430)"
Lewis Cliff 88687,14424,Valid,Stony,Ordinary,L6,5.2,Found,1988-01-01,-84.27105,161.38646,"(-84.271050, 161.386460)"
Lewis Cliff 88348,14098,Valid,Stony,Ordinary,H5,17.7,Found,1988-01-01,-84.27105,161.4078,"(-84.271050, 161.407800)"
